SCAT_ID	CCB_ID	JGI_ID
SCAT_0001	embl-cds:CCB72739	2504907846
SCAT_0002	embl-cds:CCB72740	2504912920
SCAT_0003	embl-cds:CCB72741	2504912921
SCAT_0004	embl-cds:CCB72742	2504912922
SCAT_0005	embl-cds:CCB72743	2504912923
SCAT_0006	embl-cds:CCB72744	2504912924
SCAT_0007	embl-cds:CCB72745	2504912925
SCAT_0008	embl-cds:CCB72746	2504912926
SCAT_0009	embl-cds:CCB72747	2504912927
SCAT_0010	embl-cds:CCB72748	2504912928
SCAT_0011	embl-cds:CCB72749	2504912929
SCAT_0012	embl-cds:CCB72750	no IMG ID
SCAT_0013	embl-cds:CCB72751	no IMG ID
SCAT_0014	embl-cds:CCB72752	no IMG ID
SCAT_0015	embl-cds:CCB72753	2504912930
SCAT_0016	embl-cds:CCB72754	2504912931
SCAT_0017	embl-cds:CCB72755	2504912932
SCAT_0018	embl-cds:CCB72756	2504912933
SCAT_0019	embl-cds:CCB72757	2504912934
SCAT_0020	embl-cds:CCB72758	2504912935
SCAT_0021	embl-cds:CCB72759	2504912936
SCAT_0022	embl-cds:CCB72760	2504912937
SCAT_0023	embl-cds:CCB72761	2504912938
SCAT_0024	embl-cds:CCB72762	2504912939
SCAT_0025	embl-cds:CCB72763	2504912940
SCAT_0026	embl-cds:CCB72764	2504912941
SCAT_0027	embl-cds:CCB72765	2504912942
SCAT_0028	embl-cds:CCB72766	2504912943
SCAT_0029	embl-cds:CCB72767	2504912944
SCAT_0030	embl-cds:CCB72768	2504912945
SCAT_0031	embl-cds:CCB72769	2504912946
SCAT_0032	embl-cds:CCB72770	2504912947
SCAT_0033	embl-cds:CCB72771	2504912948
SCAT_0034	embl-cds:CCB72772	2504912949
SCAT_0035	embl-cds:CCB72773	2504912950
SCAT_0036	embl-cds:CCB72774	2504912951
SCAT_0037	embl-cds:CCB72775	2504912952
SCAT_0038	embl-cds:CCB72776	2504912953
SCAT_0039	embl-cds:CCB72777	2504912954
SCAT_0040	embl-cds:CCB72778	2504912955
SCAT_0041	embl-cds:CCB72779	2504912956
SCAT_0042	embl-cds:CCB72780	2504912957
SCAT_0043	embl-cds:CCB72781	2504912958
SCAT_0044	embl-cds:CCB72782	2504912959
SCAT_0045	embl-cds:CCB72783	2504912960
SCAT_0046	embl-cds:CCB72784	2504912961
SCAT_0047	embl-cds:CCB72785	2504912962
SCAT_0048	embl-cds:CCB72786	no IMG ID
SCAT_0049	embl-cds:CCB72787	2504912963
SCAT_0050	embl-cds:CCB72788	2504912964
SCAT_0051	embl-cds:CCB72789	2504912965
SCAT_0052	embl-cds:CCB72790	2504912966
SCAT_0053	embl-cds:CCB72791	2504912967
SCAT_0054	embl-cds:CCB72792	2504912968
SCAT_0055	embl-cds:CCB72793	2504912969
SCAT_0056	embl-cds:CCB72794	2504912970
SCAT_0057	embl-cds:CCB72795	2504912971
SCAT_0058	embl-cds:CCB72796	2504912972
SCAT_0059	embl-cds:CCB72797	2504912973
SCAT_0060	embl-cds:CCB72798	2504912974
SCAT_0061	embl-cds:CCB72799	2504912975
SCAT_0062	embl-cds:CCB72800	2504912976
SCAT_0063	embl-cds:CCB72801	2504912977
SCAT_0064	embl-cds:CCB72802	2504912978
SCAT_0065	embl-cds:CCB72803	2504912979
SCAT_0066	embl-cds:CCB72804	2504912980
SCAT_0067	embl-cds:CCB72805	2504912981
SCAT_0068	embl-cds:CCB72806	2504912982
SCAT_0069	embl-cds:CCB72807	2504912983
SCAT_0070	embl-cds:CCB72808	2504912984
SCAT_0071	embl-cds:CCB72809	2504912985
SCAT_0072	embl-cds:CCB72810	2504912986
SCAT_0073	embl-cds:CCB72811	2504912987
SCAT_0074	embl-cds:CCB72812	2504912988
SCAT_0075	embl-cds:CCB72813	2504912989
SCAT_0076	embl-cds:CCB72814	2504912990
SCAT_0077	embl-cds:CCB72815	2504912991
SCAT_0078	embl-cds:CCB72816	2504912992
SCAT_0079	embl-cds:CCB72817	2504912993
SCAT_0080	embl-cds:CCB72818	2504912994
SCAT_0081	embl-cds:CCB72819	2504912995
SCAT_0082	embl-cds:CCB72820	2504912996
SCAT_0083	embl-cds:CCB72821	2504912997
SCAT_0084	embl-cds:CCB72822	2504912998
SCAT_0085	embl-cds:CCB72823	2504911477
SCAT_0086	embl-cds:CCB72824	2504911476
SCAT_0087	embl-cds:CCB72825	2504911475
SCAT_0088	embl-cds:CCB72826	2504911474
SCAT_0089	embl-cds:CCB72827	2504911473
