SCAT_ID	Type	Frame	Begin	End	Mutation	Gene	Product	Score	COGs	COGclassID	ClassDescription	COGprocess
SCAT_p0002	CDS	+1	745	981	no		hypothetical protein	71	COG2963	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
SCAT_p0003	CDS	+3	978	1862	no		transposase	293	COG2801	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
SCAT_p0004	CDS	-2	2051	2905	no		drug resistance ABC transporter permease	276	COG0842	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0005	CDS	-3	2902	3849	no		drug resistance ABC transporter ,ATPase; Daunorubicin/doxorubicin resistance ATP-binding protein drrA	315	COG1131	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0006	CDS	-3	3922	4491	no		hypothetical protein	180	COG1670	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
SCAT_p0008	CDS	-1	4815	5585	no		Nitroreductase	191	COG0778	C	Energy production and conversion	METABOLISM
SCAT_p0009	CDS	-2	5582	7723	no		hypothetical protein	106	COG0778	C	Energy production and conversion	METABOLISM
SCAT_p0011	CDS	-3	8527	9876	no		hypothetical protein	349	COG1944	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0012	CDS	-2	10256	10588	no		Amidohydrolase (fragment)	98	COG0402	F	Nucleotide transport and metabolism	METABOLISM
SCAT_p0012	CDS	-2	10256	10588	no		Amidohydrolase (fragment)	98	COG0402	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0013	CDS	-1	11736	13763	no		ATP-dependent DNA helicase	228	COG3973	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0016	CDS	-3	14452	15168	no		hypothetical protein	159	COG0583	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0017	CDS	-1	15105	15434	no		hypothetical protein	91	COG0583	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0018	CDS	+1	15517	16635	no		Epoxide hydrolase domain-containing protein	364	COG0596	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0019	CDS	+2	16688	17317	no		hypothetical protein	91	COG0179	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0020	CDS	+2	17606	17905	no		hypothetical protein	67	COG3293	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
SCAT_p0022	CDS	+1	19363	19833	no		hypothetical protein	54	COG0840	N	Cell motility	CELLULAR PROCESSES AND SIGNALING
SCAT_p0022	CDS	+1	19363	19833	no		hypothetical protein	54	COG0840	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0023	CDS	-1	20502	21008	no		Methyltransferase (fragment)	159	COG0500	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0023	CDS	-1	20502	21008	no		Methyltransferase (fragment)	159	COG0500	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0028	CDS	+2	23177	24193	no	rbsR	LacI family transcriptional regulator	338	COG1609	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0029	CDS	+1	24154	25719	no	rbsA	ribose ABC transporter (ATP-binding protein)	512	COG1129	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0030	CDS	+2	25709	27658	no		D-ribose ABC transporter permease	333	COG1172,COG1879	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0031	CDS	+1	27700	28617	no		carbohydrate kinase	305	COG0524	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0032	CDS	+3	28614	29003	no	rbsD	ribose ABC transporter (membrane bound ribose binding)	129	COG1869	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0033	CDS	+1	29200	30033	no		transmembrane protein	238	COG1266	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0034	CDS	+3	30030	31205	no		sensor kinase	285	COG4585	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0035	CDS	+2	31202	31861	no	yxjL	transcriptional regulator	219	COG2197	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0035	CDS	+2	31202	31861	no	yxjL	transcriptional regulator	219	COG2197	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0037	CDS	-3	32965	33855	no		hypothetical protein	230	COG2141	C	Energy production and conversion	METABOLISM
SCAT_p0038	CDS	-3	33862	36873	no		hypothetical protein	991	COG1020	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0039	CDS	-1	36891	38684	no		Dimodular nonribosomal peptide synthetase (fragment)	552	COG1020	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0039	CDS	-1	36891	38684	no		Dimodular nonribosomal peptide synthetase (fragment)	42	COG3251	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0040	CDS	-3	38722	39468	no	mcyT	Microcystin synthetase-associated thioesterase	244	COG3208	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0041	CDS	-1	39465	42716	no		Linear gramicidin synthetase subunit B [Includes: ATP-dependent alanine adenylase ; ATP-dependent D-leucine adenylase ; Leucine racemase [ATP-hydrolyzing] ; ATP-dependent alanine adenylase ; ATP-dependent D-valine adenylase ; Valine racemase [ATP-hydrolyzing]] (fragment)	1082	COG1020	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0042	CDS	-3	42718	42990	no		hypothetical protein	89	COG1020	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0043	CDS	+2	44249	44881	no		LuxR family transcriptional regulator	210	COG2197	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0043	CDS	+2	44249	44881	no		LuxR family transcriptional regulator	210	COG2197	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0044	CDS	-2	45188	45502	no		hypothetical protein	78	COG0199	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
SCAT_p0045	CDS	+1	45583	45747	no	rpmG	50S ribosomal protein L33	54	COG0267	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
SCAT_p0046	CDS	+3	45753	46007	no	rpmEB	50S ribosomal protein L31	82	COG0254	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
SCAT_p0047	CDS	+2	46280	47662	no		hypothetical protein	190	COG0823	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
SCAT_p0050	CDS	-1	51285	52538	no		organophosphate acid anhydrase	408	COG1228	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0051	CDS	+1	52681	53193	no	grhR	transcriptional repressor GrhR3	156	COG1846	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0052	CDS	+2	53315	53965	no		NAD-dependent epimerase/dehydratase	214	COG2910	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0053	CDS	-1	53991	54173	no		hypothetical protein	34	COG1674	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
SCAT_p0056	CDS	+3	57030	57695	no		RNA polymerase sigma factor, sigma-70 family/RNA polymerase sigma-70 factor, sigma-E family	166	COG1595	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0059	CDS	+2	59759	60202	no		transcriptional regulator	139	COG1959	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0060	CDS	+1	60373	61614	no		Xaa-Pro dipeptidase	389	COG1228	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0061	CDS	-2	61793	63229	no		2-polyprenyl-6-methoxyphenol 4-hydroxylase	477	COG0654	C	Energy production and conversion	METABOLISM
SCAT_p0061	CDS	-2	61793	63229	no		2-polyprenyl-6-methoxyphenol 4-hydroxylase	477	COG0654	H	Coenzyme transport and metabolism	METABOLISM
SCAT_p0062	CDS	+3	63309	64310	no		transcriptional regulator	151	COG1522	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0065	CDS	+1	66373	67920	no		hypothetical protein	105	COG5305	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0067	CDS	-1	68874	69242	no		hypothetical protein	109	COG3409	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
SCAT_p0070	CDS	+2	72413	72946	no		RNA polymerase sigma factor (ECF family)	162	COG1595	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0072	CDS	+1	73969	74814	no		Methylase	250	COG0500	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0072	CDS	+1	73969	74814	no		Methylase	250	COG0500	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0073	CDS	+2	75251	76156	no		hypothetical protein	262	COG3315	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0074	CDS	-1	76197	77285	no	xylB	aryl-alcohol dehydrogenase	361	COG1062	C	Energy production and conversion	METABOLISM
SCAT_p0075	CDS	-3	77377	78132	no		hypothetical protein	227	COG1891	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0077	CDS	+1	78676	79503	no		SAM-dependent methyltransferase	240	COG0500	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0077	CDS	+1	78676	79503	no		SAM-dependent methyltransferase	240	COG0500	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0078	CDS	-1	79611	79916	no		DNA-binding protein	86	COG1396	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0079	CDS	+2	79982	80764	no	map	Methionine aminopeptidase	260	COG0024	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
SCAT_p0080	CDS	-3	81109	81708	no		TetR family transcriptional regulator	196	COG1309	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0081	CDS	+3	81801	83018	no		hypothetical protein	267	COG0596	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0082	CDS	-2	83207	84244	no		D-alanyl-D-alanine carboxypeptidase	310	COG1686	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
SCAT_p0083	CDS	-1	84402	85862	no		Cellulase (Glycosyl hydrolase 5) with CBM domain	313	COG2730	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0084	CDS	-3	86230	87276	no		Nucleoside-diphosphate-sugar epimerase	250	COG0451	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0084	CDS	-3	86230	87276	no		Nucleoside-diphosphate-sugar epimerase	250	COG0451	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
SCAT_p0086	CDS	+2	88304	90013	no		N-acetylmuramoyl-L-alanine amidase	183	COG3757,COG3409	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
SCAT_p0089	CDS	-3	92047	92955	no		hydrolase or acyltransferase of alpha/beta superfamily	295	COG0596	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0090	CDS	+3	93189	94556	no	ptlI	Pentalenene C13 hydroxylase; cytochrome P450	443	COG2124	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0092	CDS	+3	95790	97073	no		hypothetical protein	216	COG1020	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
